Age,Gender,Item Purchased,Category,Purchase Amount (USD),Country,Location,Size,Year,Review Rating,Promo Code Used,Previous Purchases,Payment Method,Discount value
37,Female,Sweater,Clothing,62,USA,Florida,M,2023,4.5,No,46,Credit Card,0
58,Female,Skirt,Clothing,76,USA,Nevada,S,2023,4.6,Yes,28,Credit Card,10
37,Female,Sneakers,Footwear,100,USA,Missouri,L,2023,3.8,No,nothing,Debit,
32,Female,Gloves,Accessories,73,USA,Delaware,S,2023,3.6,No,43,Debit Card,
21,Male,Shoes,Footwear,92,USA,Virginia,M,2023,4.8,Yes,nothing,Cash,10
20,Female,Jeans,Clothing,67,USA,New York,XL,2023,2.6,No,20,Bank Transfer,0
26,Male,Hoodie,Clothing,40,USA,Missouri,XL,2023,3.7,No,nothing,Debit Card,0
62,Female,Sunglasses,Accessories,98,USA,South Dakota,M,2023,2.7,No,nothing,Cash,
27,F,Coat,Outerwear,85,USA,North Dakota,XL,2023,4.6,Yes,nothing,Credit Card,50
0,Male,Socks,Clothing,67,USA,Oklahoma,L,2023,4.8,No,35,Credit Card,0
54,Female,Boots,Footwear,89,USA,West Virginia,L,2023,4,No,nothing,Debit Card,0
55,Female,Sunglasses,Accessories,24,USA,New Hampshire,L,2023,4.4,No,1,Debit,0
69,Female,Backpack,Accessories,96,USA,New York,M,2023,3.6,No,nothing,Bank Transfer,
64,Female,Jacket,Outerwear,35,USA,Minnesota,L,2023,3.7,No,nothing,Credit Card,
28,Female,Sneakers,Footwear,67,USA,Maryland,L,2023,3.1,Yes,nothing,Cash,50
70,Female,Socks,Clothing,79,USA,Montana,L,2023,3.4,Yes,nothing,Bank Transfer,10
58,Female,T-shirt,Clothing,85,USA,Alabama,M,2023,2.6,No,nothing,Bank Transfer,
56,Female,Backpack,Accessories,26,USA,New York,M,2023,4,No,26,Debit Card,0
0,Female,Belt,Accessories,75,USA,Massachusetts,L,2023,5,No,nothing,Credit Card,0
37,Female,Gloves,Accessories,65,USA,Florida,M,2023,4.3,No,nothing,Credit,
44,Female,Hat,Accessories,54,USA,New Jersey,L,2023,3.1,No,20,Cash,
70,Female,Coat,Outerwear,95,USA,Massachusetts,S,2023,3.7,Yes,nothing,Cash,10
53,Female,Skirt,Clothing,94,USA,Wyoming,M,2023,3.8,No,nothing,Debit Card,
55,Male,Shoes,Footwear,86,USA,Virginia,S,2023,3.4,Yes,nothing,Debit Card,20
50,Female,Sandals,Footwear,32,USA,South Dakota,L,2023,4.6,No,29,Cash,
50,M,Sweater,Clothing,45,USA,Kentucky,L,2023,4.8,No,nothing,Cash,
38,Female,Coat,Outerwear,76,USA,Wyoming,M,2023,4.3,No,nothing,Cash,0
64,Female,Hat,Accessories,84,USA,West Virginia,L,2023,4,No,nothing,Bank Transfer,0
19,Female,Shorts,Clothing,72,USA,Virginia,M,2023,4.2,Yes,nothing,Cash,10
40,Female,Backpack,Accessories,40,USA,Washington,L,2023,4.8,No,nothing,Cash,
57,Male,Sweater,Clothing,89,USA,Louisiana,L,2023,3.1,No,nothing,Cash,0
44,Male,Sweater,Clothing,86,USA,Nevada,M,2023,3.1,Yes,nothing,Cash,50
49,Male,Shorts,Clothing,54,USA,California,M,2023,3.6,Yes,45,Debit Card,10
43,Female,Shorts,Clothing,36,USA,Mississippi,L,2023,3.9,No,nothing,Cash,0
24,Female,Sweater,Clothing,89,USA,Mississippi,M,2023,4.8,No,26,Credit Card,
20,Male,Scarf,Accessories,32,USA,California,M,2023,4.7,No,nothing,Credit Card,
24,Female,Dress,Clothing,67,USA,Pennsylvania,XL,2023,4.2,No,49,Credit,
44,Female,Scarf,Accessories,39,USA,Kentucky,L,2023,3.7,Yes,13,Debit,10
28,Female,Skirt,Clothing,29,USA,Maine,L,2023,3.9,No,nothing,Credit Card,
30,Male,Backpack,Accessories,58,USA,New Mexico,M,2023,4.7,No,nothing,Debit,0
52,Female,Sweater,Clothing,65,USA,Montana,M,2023,2.5,No,25,Debit Card,0
43,Male,Hat,Accessories,94,USA,Texas,L,2023,4.9,Yes,nothing,Cash,50
43,Male,Sandals,Footwear,81,USA,Kansas,M,2023,4.1,No,12,Cash,
39,Female,Blouse,Clothing,86,USA,South Carolina,M,2023,3.3,No,4,Debit Card,0
68,,Sneakers,Footwear,43,USA,Colorado,M,2023,4.7,Yes,nothing,Debit,50
68,Male,Skirt,Clothing,29,USA,Georgia,M,2023,4.4,No,42,Bank Transfer,0
49,Male,Coat,Outerwear,95,USA,Florida,M,2023,3.8,No,nothing,Debit Card,
63,M,Shirt,Clothing,28,USA,North Carolina,L,2023,3.9,No,nothing,Credit Card,
56,Male,Gloves,Accessories,46,USA,Virginia,M,2023,4.9,No,45,Cash,
37,Female,Jacket,Outerwear,58,USA,Nebraska,L,2023,3.1,No,nothing,Credit Card,
30,Female,Coat,Outerwear,48,USA,Missouri,M,2023,2.7,Yes,nothing,Cash,10
19,,Shoes,Footwear,43,USA,New Jersey,M,2023,3.2,No,nothing,Cash,
24,Female,Jewelry,Accessories,95,USA,Missouri,M,2023,4.5,Yes,44,Debit Card,10
52,Male,Skirt,Clothing,30,USA,Colorado,S,2023,4,Yes,nothing,Debit Card,50
63,Female,Shoes,Footwear,64,USA,Idaho,M,2023,3.5,No,nothing,Bank Transfer,
37,Male,Gloves,Accessories,90,USA,Wyoming,M,2023,2.6,No,nothing,Debit Card,0
38,Female,Pants,Clothing,76,USA,Delaware,M,2023,3.2,No,nothing,Cash,
35,Female,Boots,Footwear,96,USA,California,L,2023,4.9,No,nothing,Debit Card,
28,,Sunglasses,Accessories,47,USA,North Dakota,L,2023,4.5,No,3,Debit Card,0
30,Male,Shirt,Clothing,85,USA,South Carolina,S,2023,4.3,No,nothing,Debit Card,
69,Female,Hoodie,Clothing,55,USA,North Carolina,M,2023,3.2,Yes,nothing,Debit Card,20
41,Male,Dress,Clothing,98,USA,Oklahoma,M,2023,3.6,No,nothing,Debit Card,0
63,Female,Socks,Clothing,77,USA,Maine,S,2023,4.3,No,nothing,Bank Transfer,
35,,Shorts,Clothing,26,USA,Missouri,M,2023,4,No,nothing,Debit Card,
36,Male,Hat,Accessories,68,USA,Vermont,S,2023,3,No,nothing,Bank Transfer,0
25,Female,Shirt,Clothing,73,USA,Connecticut,XL,2023,4.1,No,nothing,Bank Transfer,
58,Female,Gloves,Accessories,27,USA,New Hampshire,M,2023,3.8,No,39,Bank Transfer,
0,Male,Gloves,Accessories,23,USA,Texas,M,2023,4.6,Yes,nothing,Debit Card,50
65,Female,Backpack,Accessories,49,USA,North Dakota,M,2023,3,No,29,Debit Card,0
0,Male,Sunglasses,Accessories,74,USA,California,M,2023,3,No,nothing,Cash,
54,Male,Skirt,Clothing,67,USA,Virginia,M,2023,3.4,No,nothing,Debit Card,
59,Male,Handbag,Accessories,65,USA,Delaware,S,2023,2.6,No,nothing,Credit Card,
42,Female,Handbag,Accessories,60,USA,Kentucky,S,2023,2.8,No,nothing,Cash,0
46,Female,Sneakers,Footwear,31,USA,Delaware,XL,2023,4,No,nothing,Cash,0
33,Female,Gloves,Accessories,27,USA,Arkansas,M,2023,4,Yes,14,Credit Card,20
34,,Shoes,Footwear,80,USA,Louisiana,M,2023,3,No,nothing,Cash,
0,Male,Jacket,Outerwear,30,USA,Nevada,S,2023,3.3,No,nothing,Cash,0
52,Male,Shirt,Clothing,25,USA,Wyoming,M,2023,2.6,No,nothing,Debit Card,
29,Female,Shorts,Clothing,35,USA,Virginia,M,2023,3.6,No,4,Credit Card,0
54,Male,Jewelry,Accessories,67,USA,Nebraska,M,2023,3.9,No,nothing,Credit Card,0
25,Male,Hat,Accessories,46,USA,Hawaii,M,2023,3.4,No,nothing,Cash,0
41,Male,Shoes,Footwear,35,USA,Vermont,L,2023,3.5,No,37,Debit Card,
53,Female,Coat,Outerwear,86,USA,Oklahoma,L,2023,2.8,Yes,nothing,Bank Transfer,10
53,Female,Backpack,Accessories,81,USA,New Hampshire,L,2023,2.7,Yes,30,Credit Card,10
21,Female,Hoodie,Clothing,42,USA,Kansas,L,2023,3.7,No,47,Bank Transfer,0
61,Male,Skirt,Clothing,43,USA,Idaho,L,2023,4.3,No,nothing,Cash,
64,Female,Boots,Footwear,31,USA,Illinois,M,2023,4.9,Yes,nothing,Bank Transfer,50
51,Female,Sandals,Footwear,81,USA,South Dakota,L,2023,3.3,No,nothing,Debit Card,0
32,Female,Pants,Clothing,61,USA,Massachusetts,M,2023,4.7,Yes,nothing,Bank Transfer,10
38,Female,Gloves,Accessories,96,USA,Alabama,XL,2023,2.8,No,10,Debit Card,0
58,Male,Skirt,Clothing,29,USA,Ohio,XL,2023,3.6,No,nothing,Credit Card,
32,Male,Sneakers,Footwear,33,USA,Hawaii,L,2023,3,No,nothing,Cash,
46,Female,T-shirt,Clothing,32,USA,Wisconsin,XL,2023,4.5,No,34,Bank Transfer,
0,Female,Backpack,Accessories,56,USA,Minnesota,S,2023,2.9,No,nothing,Debit Card,0
19,Male,Shoes,Footwear,94,USA,Georgia,S,2023,3.3,No,nothing,Bank Transfer,0
50,Female,Hoodie,Clothing,53,USA,Arkansas,M,2023,3.1,Yes,nothing,Bank Transfer,10
36,Female,Blouse,Clothing,82,USA,West Virginia,M,2023,4.4,Yes,nothing,Credit Card,50
65,Female,Coat,Outerwear,70,USA,Indiana,XL,2023,3,No,nothing,Debit Card,0
64,Female,Hat,Accessories,76,USA,Utah,M,2023,3.9,No,29,Cash,0
46,Female,Shoes,Footwear,29,USA,Nebraska,L,2023,2.9,No,nothing,Credit,0
36,Male,Belt,Accessories,100,USA,North Dakota,S,2023,3,Yes,nothing,Debit Card,10
51,Female,Backpack,Accessories,94,USA,Missouri,M,2023,3.1,Yes,nothing,Debit Card,10
51,Female,Jacket,Outerwear,25,USA,New York,M,2023,4.3,Yes,nothing,Credit Card,10
38,Male,Boots,Footwear,88,USA,Washington,M,2023,3.9,No,41,Credit Card,0
59,Male,Scarf,Accessories,78,USA,South Carolina,M,2023,3.2,No,nothing,Credit Card,
57,,Jewelry,Accessories,45,USA,Utah,M,2023,4.8,No,nothing,Credit Card,
54,Male,Hat,Accessories,73,USA,Idaho,XL,2023,3.8,No,nothing,Cash,0
25,Female,Dress,Clothing,61,USA,Pennsylvania,S,2023,3.3,No,29,Debit Card,0
69,Female,Blouse,Clothing,22,USA,Missouri,S,2023,4.3,No,nothing,Bank Transfer,0
57,Female,Hat,Accessories,38,USA,Nebraska,L,2023,2.7,No,nothing,Debit Card,0
70,F,Scarf,Accessories,38,USA,Indiana,S,2023,3.2,No,nothing,Bank Transfer,0
0,Male,Sneakers,Footwear,100,USA,Arizona,M,2023,4,No,nothing,Cash,0
67,Male,Shirt,Clothing,64,USA,Hawaii,M,2023,3,No,nothing,Cash,0
24,Male,T-shirt,Clothing,55,USA,Wisconsin,L,2023,4.2,No,nothing,Debit Card,0
62,F,Gloves,Accessories,91,USA,Rhode Island,M,2023,2.9,No,nothing,Bank Transfer,
57,Male,Skirt,Clothing,38,USA,Wisconsin,M,2023,4.1,No,nothing,Credit Card,0
55,Male,Sandals,Footwear,97,USA,Minnesota,S,2023,3.2,No,nothing,Cash,
45,Female,Jacket,Outerwear,22,USA,Vermont,L,2023,3,Yes,nothing,Cash,10
69,Female,Skirt,Clothing,92,USA,South Dakota,L,2023,4.2,No,nothing,Debit Card,
67,Female,Handbag,Accessories,84,USA,Virginia,L,2023,4.2,No,nothing,Debit Card,
30,Female,Handbag,Accessories,93,USA,Nevada,L,2023,4.4,Yes,11,Debit Card,10
24,Female,Jacket,Outerwear,50,USA,Hawaii,L,2023,4.2,No,nothing,Cash,
62,Male,Scarf,Accessories,64,USA,New Jersey,S,2023,2.8,No,nothing,Credit,
0,Male,Shorts,Clothing,61,USA,Massachusetts,L,2023,3.7,Yes,nothing,Debit Card,10
35,Female,Sunglasses,Accessories,48,USA,Oklahoma,M,2023,3.5,No,24,Bank Transfer,0
28,Female,T-shirt,Clothing,45,USA,California,S,2023,2.9,No,8,Credit Card,0
32,Female,Belt,Accessories,88,USA,Nevada,M,2023,3,Yes,12,Cash,10
39,Female,Sneakers,Footwear,57,USA,Arizona,S,2023,3.7,No,nothing,Debit Card,0
28,Female,Hat,Accessories,68,USA,North Carolina,XL,2023,4.4,No,nothing,Bank Transfer,0
47,Male,Gloves,Accessories,94,USA,New York,XL,2023,4.5,Yes,nothing,Cash,10
20,Female,Pants,Clothing,41,USA,Wyoming,M,2023,4.8,No,34,Debit,0
63,Female,Socks,Clothing,83,USA,South Dakota,S,2023,2.9,No,nothing,Cash,0
25,Female,Jacket,Outerwear,22,USA,Arkansas,M,2023,3.2,No,11,Bank Transfer,
29,,Shoes,Footwear,74,USA,Texas,L,2023,3.3,No,nothing,Debit,0
50,Male,Jeans,Clothing,90,USA,Rhode Island,M,2023,4.2,No,nothing,Debit Card,0
18,F,Socks,Clothing,79,USA,New Hampshire,M,2023,2.9,Yes,nothing,Credit Card,10
70,Female,Sandals,Footwear,28,USA,Ohio,S,2023,4.6,No,nothing,Debit,
66,M,Scarf,Accessories,88,USA,Utah,L,2023,4.1,No,43,Credit Card,0
28,Female,Blouse,Clothing,26,USA,Tennessee,M,2023,3.1,Yes,nothing,Debit Card,10
54,Female,Jewelry,Accessories,27,USA,Hawaii,L,2023,4.2,No,nothing,Bank Transfer,
19,Female,Sweater,Clothing,83,USA,Arizona,XL,2023,4.5,No,27,Bank Transfer,0
20,Female,Gloves,Accessories,39,USA,South Dakota,S,2023,3.7,Yes,24,Credit Card,10
43,Female,Sunglasses,Accessories,89,USA,New Jersey,M,2023,3.7,Yes,nothing,Debit Card,10
38,Female,Coat,Outerwear,68,USA,North Dakota,L,2023,3.4,Yes,nothing,Credit,10
50,Female,Dress,Clothing,90,USA,Iowa,M,2023,3,Yes,nothing,Debit Card,10
64,Female,Skirt,Clothing,34,USA,Ohio,M,2023,4.2,No,nothing,Cash,
49,Male,Pants,Clothing,51,USA,Vermont,L,2023,2.9,No,nothing,Credit Card,
47,,Sweater,Clothing,45,USA,Montana,XL,2023,3.5,No,nothing,Bank Transfer,
36,Male,Hoodie,Clothing,88,USA,Delaware,M,2023,4.1,Yes,43,Debit Card,10
55,Female,Coat,Outerwear,85,USA,New York,L,2023,4.3,No,40,Debit Card,0
25,Female,Jewelry,Accessories,100,USA,Kentucky,M,2023,2.8,No,nothing,Debit Card,
53,Female,Belt,Accessories,42,USA,Oregon,S,2023,4.9,No,nothing,Cash,
49,Female,Sandals,Footwear,53,USA,Rhode Island,L,2023,3.3,Yes,nothing,Debit Card,10
35,Female,Sunglasses,Accessories,86,USA,Nevada,XL,2023,3.2,No,nothing,Debit Card,
0,Female,Sweater,Clothing,66,USA,Montana,XL,2023,4.4,No,nothing,Debit Card,
0,Female,Belt,Accessories,100,USA,Pennsylvania,M,2023,4.8,Yes,nothing,Cash,50
53,,Handbag,Accessories,47,USA,Alaska,S,2023,4.2,No,nothing,Credit Card,
33,Female,Skirt,Clothing,25,USA,Mississippi,L,2023,4,No,nothing,Bank Transfer,0
21,,Handbag,Accessories,51,USA,Wyoming,XL,2023,2.5,No,34,Debit,
32,Female,Shorts,Clothing,41,USA,Delaware,M,2023,3.9,No,nothing,Debit Card,
0,Female,Boots,Footwear,73,USA,Oklahoma,L,2023,4.9,Yes,15,Bank Transfer,10
67,Female,Sunglasses,Accessories,42,USA,Indiana,M,2023,3.5,No,nothing,Credit,0
43,Female,Scarf,Accessories,20,USA,Maryland,M,2023,4.2,No,nothing,Debit Card,0
58,Male,Jewelry,Accessories,30,USA,South Dakota,XL,2023,4.7,No,nothing,Credit Card,0
20,Male,Handbag,Accessories,53,USA,West Virginia,M,2023,4.5,No,5,Credit Card,0
61,,Gloves,Accessories,74,USA,Alabama,S,2023,2.8,Yes,nothing,Cash,10
32,Male,Jeans,Clothing,57,USA,Louisiana,M,2023,2.9,No,13,Debit Card,
0,Male,Hat,Accessories,57,USA,Montana,S,2023,3.2,No,11,Credit Card,0
0,Female,Jeans,Clothing,77,USA,California,L,2023,4.9,No,nothing,Credit Card,
37,Female,Pants,Clothing,40,USA,Hawaii,M,2023,3.7,No,nothing,Debit Card,0
27,Female,Shorts,Clothing,46,USA,Iowa,M,2023,4.3,Yes,nothing,Debit Card,20
36,Male,Pants,Clothing,78,USA,Colorado,S,2023,3.9,Yes,nothing,Cash,10
32,Female,Backpack,Accessories,59,USA,Michigan,M,2023,3.2,No,nothing,Bank Transfer,
51,Female,Jewelry,Accessories,75,USA,Louisiana,L,2023,3.1,No,nothing,Credit Card,
64,Female,Sweater,Clothing,54,USA,Maryland,M,2023,3.9,No,42,Debit Card,0
68,Male,Shoes,Footwear,42,USA,Georgia,M,2023,2.6,No,nothing,Cash,0
68,Female,Blouse,Clothing,44,USA,Georgia,M,2023,3.3,No,nothing,Cash,
33,Female,Jeans,Clothing,52,USA,North Dakota,XL,2023,4.6,No,nothing,Bank Transfer,0
65,Female,Sunglasses,Accessories,69,USA,Maryland,XL,2023,4.6,No,nothing,Credit Card,
48,Female,Jewelry,Accessories,26,USA,Oregon,M,2023,4.4,Yes,nothing,Debit Card,50
69,Female,Coat,Outerwear,33,USA,North Dakota,S,2023,4.2,No,nothing,Debit Card,0
59,Female,Jewelry,Accessories,32,USA,Maryland,M,2023,3,No,28,Cash,
48,Male,Backpack,Accessories,85,USA,Virginia,XL,2023,4,Yes,13,Credit Card,10
25,,Skirt,Clothing,30,USA,South Dakota,XL,2023,3.5,No,11,Bank Transfer,
29,,Shirt,Clothing,29,USA,Georgia,M,2023,3,No,36,Bank Transfer,
57,Male,Sweater,Clothing,95,USA,Hawaii,M,2023,3.7,Yes,23,Debit Card,10
23,Male,Sneakers,Footwear,69,USA,Arkansas,L,2023,4,No,nothing,Bank Transfer,
45,Female,Sandals,Footwear,69,USA,Montana,S,2023,4.2,No,21,Cash,0
38,F,Belt,Accessories,61,USA,Oklahoma,XL,2023,2.5,No,nothing,Debit Card,
21,M,Skirt,Clothing,94,USA,Minnesota,M,2023,3,Yes,9,Cash,10
32,Male,Sweater,Clothing,30,USA,Montana,S,2023,3.2,No,nothing,Debit Card,0
63,Male,Skirt,Clothing,45,USA,Ohio,M,2023,3.5,No,nothing,Credit,
29,Male,Handbag,Accessories,39,USA,Kentucky,XL,2023,4.8,No,nothing,Debit Card,0
27,Male,Jewelry,Accessories,51,USA,Nebraska,L,2023,2.6,No,nothing,Debit Card,
56,Female,Scarf,Accessories,37,USA,Delaware,L,2023,3.4,No,nothing,Debit Card,0
30,Male,T-shirt,Clothing,62,USA,North Carolina,M,2023,3.7,Yes,nothing,Debit Card,20
0,Female,Coat,Outerwear,85,USA,New York,M,2023,4.5,No,nothing,Credit Card,0
58,Female,T-shirt,Clothing,33,USA,Colorado,M,2023,3.7,Yes,nothing,Credit,10
57,,Dress,Clothing,26,USA,Delaware,XL,2023,3.3,No,40,Bank Transfer,0
