Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Review Rating,Promo Code Used,Previous Purchases,Payment Method,Discount Value (%)
24,F,Dress,Clothing,67,Pennsylvania,XL,4.2,No,49,Credit,0.0
44,F,Scarf,Accessories,39,Kentucky,L,3.7,Yes,13,Debit Card,10.0
28,F,Skirt,Clothing,29,Maine,L,3.9,No,0,Credit Card,0.0
30,M,Backpack,Accessories,58,New Mexico,M,4.7,No,0,Debit Card,0.0
52,F,Sweater,Clothing,65,Montana,M,2.5,No,25,Debit Card,0.0
43,M,Hat,Accessories,94,Texas,L,4.9,Yes,0,Cash,50.0
43,M,Sandals,Footwear,81,Kansas,M,4.1,No,12,Cash,0.0
39,F,Blouse,Clothing,86,South Carolina,M,3.3,No,4,Debit Card,0.0
68,U,Sneakers,Footwear,43,Colorado,M,4.7,Yes,0,Debit Card,50.0
68,M,Skirt,Clothing,29,Georgia,M,4.4,No,42,Bank Transfer,0.0
49,M,Coat,Outerwear,95,Florida,M,3.8,No,0,Debit Card,0.0
63,M,Shirt,Clothing,28,North Carolina,L,3.9,No,0,Credit Card,0.0
56,M,Gloves,Accessories,46,Virginia,M,4.9,No,45,Cash,0.0
37,F,Jacket,Outerwear,58,Nebraska,L,3.1,No,0,Credit Card,0.0
30,F,Coat,Outerwear,48,Missouri,M,2.7,Yes,0,Cash,10.0
19,U,Shoes,Footwear,43,New Jersey,M,3.2,No,0,Cash,0.0
24,F,Jewelry,Accessories,95,Missouri,M,4.5,Yes,44,Debit Card,10.0
52,M,Skirt,Clothing,30,Colorado,S,4.0,Yes,0,Debit Card,50.0
63,F,Shoes,Footwear,64,Idaho,M,3.5,No,0,Bank Transfer,0.0
37,M,Gloves,Accessories,90,Wyoming,M,2.6,No,0,Debit Card,0.0
38,F,Pants,Clothing,76,Delaware,M,3.2,No,0,Cash,0.0
35,F,Boots,Footwear,96,California,L,4.9,No,0,Debit Card,0.0
28,U,Sunglasses,Accessories,47,North Dakota,L,4.5,No,3,Debit Card,0.0
30,M,Shirt,Clothing,85,South Carolina,S,4.3,No,0,Debit Card,0.0
69,F,Hoodie,Clothing,55,North Carolina,M,3.2,Yes,0,Debit Card,20.0
41,M,Dress,Clothing,98,Oklahoma,M,3.6,No,0,Debit Card,0.0
63,F,Socks,Clothing,77,Maine,S,4.3,No,0,Bank Transfer,0.0
35,U,Shorts,Clothing,26,Missouri,M,4.0,No,0,Debit Card,0.0
36,M,Hat,Accessories,68,Vermont,S,3.0,No,0,Bank Transfer,0.0
25,F,Shirt,Clothing,73,Connecticut,XL,4.1,No,0,Bank Transfer,0.0
58,F,Gloves,Accessories,27,New Hampshire,M,3.8,No,39,Bank Transfer,0.0
65,F,Backpack,Accessories,49,North Dakota,M,3.0,No,29,Debit Card,0.0
54,M,Skirt,Clothing,67,Virginia,M,3.4,No,0,Debit Card,0.0
59,M,Handbag,Accessories,65,Delaware,S,2.6,No,0,Credit Card,0.0
42,F,Handbag,Accessories,60,Kentucky,S,2.8,No,0,Cash,0.0
46,F,Sneakers,Footwear,31,Delaware,XL,4.0,No,0,Cash,0.0
33,F,Gloves,Accessories,27,Arkansas,M,4.0,Yes,14,Credit Card,20.0
34,U,Shoes,Footwear,80,Louisiana,M,3.0,No,0,Cash,0.0
52,M,Shirt,Clothing,25,Wyoming,M,2.6,No,0,Debit Card,0.0
29,F,Shorts,Clothing,35,Virginia,M,3.6,No,4,Credit Card,0.0
54,M,Jewelry,Accessories,67,Nebraska,M,3.9,No,0,Credit Card,0.0
25,M,Hat,Accessories,46,Hawaii,M,3.4,No,0,Cash,0.0
41,M,Shoes,Footwear,35,Vermont,L,3.5,No,37,Debit Card,0.0
53,F,Coat,Outerwear,86,Oklahoma,L,2.8,Yes,0,Bank Transfer,10.0
53,F,Backpack,Accessories,81,New Hampshire,L,2.7,Yes,30,Credit Card,10.0
21,F,Hoodie,Clothing,42,Kansas,L,3.7,No,47,Bank Transfer,0.0
61,M,Skirt,Clothing,43,Idaho,L,4.3,No,0,Cash,0.0
64,F,Boots,Footwear,31,Illinois,M,4.9,Yes,0,Bank Transfer,50.0
51,F,Sandals,Footwear,81,South Dakota,L,3.3,No,0,Debit Card,0.0
32,F,Pants,Clothing,61,Massachusetts,M,4.7,Yes,0,Bank Transfer,10.0
38,F,Gloves,Accessories,96,Alabama,XL,2.8,No,10,Debit Card,0.0
58,M,Skirt,Clothing,29,Ohio,XL,3.6,No,0,Credit Card,0.0
32,M,Sneakers,Footwear,33,Hawaii,L,3.0,No,0,Cash,0.0
46,F,T-shirt,Clothing,32,Wisconsin,XL,4.5,No,34,Bank Transfer,0.0
19,M,Shoes,Footwear,94,Georgia,S,3.3,No,0,Bank Transfer,0.0
50,F,Hoodie,Clothing,53,Arkansas,M,3.1,Yes,0,Bank Transfer,10.0
36,F,Blouse,Clothing,82,West Virginia,M,4.4,Yes,0,Credit Card,50.0
65,F,Coat,Outerwear,70,Indiana,XL,3.0,No,0,Debit Card,0.0
64,F,Hat,Accessories,76,Utah,M,3.9,No,29,Cash,0.0
46,F,Shoes,Footwear,29,Nebraska,L,2.9,No,0,Credit,0.0
36,M,Belt,Accessories,100,North Dakota,S,3.0,Yes,0,Debit Card,10.0
51,F,Backpack,Accessories,94,Missouri,M,3.1,Yes,0,Debit Card,10.0
51,F,Jacket,Outerwear,25,New York,M,4.3,Yes,0,Credit Card,10.0
38,M,Boots,Footwear,88,Washington,M,3.9,No,41,Credit Card,0.0
59,M,Scarf,Accessories,78,South Carolina,M,3.2,No,0,Credit Card,0.0
57,U,Jewelry,Accessories,45,Utah,M,4.8,No,0,Credit Card,0.0
54,M,Hat,Accessories,73,Idaho,XL,3.8,No,0,Cash,0.0
25,F,Dress,Clothing,61,Pennsylvania,S,3.3,No,29,Debit Card,0.0
69,F,Blouse,Clothing,22,Missouri,S,4.3,No,0,Bank Transfer,0.0
57,F,Hat,Accessories,38,Nebraska,L,2.7,No,0,Debit Card,0.0
70,F,Scarf,Accessories,38,Indiana,S,3.2,No,0,Bank Transfer,0.0
67,M,Shirt,Clothing,64,Hawaii,M,3.0,No,0,Cash,0.0
24,M,T-shirt,Clothing,55,Wisconsin,L,4.2,No,0,Debit Card,0.0
62,F,Gloves,Accessories,91,Rhode Island,M,2.9,No,0,Bank Transfer,0.0
57,M,Skirt,Clothing,38,Wisconsin,M,4.1,No,0,Credit Card,0.0
55,M,Sandals,Footwear,97,Minnesota,S,3.2,No,0,Cash,0.0
45,F,Jacket,Outerwear,22,Vermont,L,3.0,Yes,0,Cash,10.0
69,F,Skirt,Clothing,92,South Dakota,L,4.2,No,0,Debit Card,0.0
67,F,Handbag,Accessories,84,Virginia,L,4.2,No,0,Debit Card,0.0
30,F,Handbag,Accessories,93,Nevada,L,4.4,Yes,11,Debit Card,10.0
24,F,Jacket,Outerwear,50,Hawaii,L,4.2,No,0,Cash,0.0
62,M,Scarf,Accessories,64,New Jersey,S,2.8,No,0,Credit,0.0
35,F,Sunglasses,Accessories,48,Oklahoma,M,3.5,No,24,Bank Transfer,0.0
28,F,T-shirt,Clothing,45,California,S,2.9,No,8,Credit Card,0.0
32,F,Belt,Accessories,88,Nevada,M,3.0,Yes,12,Cash,10.0
39,F,Sneakers,Footwear,57,Arizona,S,3.7,No,0,Debit Card,0.0
28,F,Hat,Accessories,68,North Carolina,XL,4.4,No,0,Bank Transfer,0.0
47,M,Gloves,Accessories,94,New York,XL,4.5,Yes,0,Cash,10.0
20,F,Pants,Clothing,41,Wyoming,M,4.8,No,34,Debit Card,0.0
63,F,Socks,Clothing,83,South Dakota,S,2.9,No,0,Cash,0.0
25,F,Jacket,Outerwear,22,Arkansas,M,3.2,No,11,Bank Transfer,0.0
29,U,Shoes,Footwear,74,Texas,L,3.3,No,0,Debit Card,0.0
50,M,Jeans,Clothing,90,Rhode Island,M,4.2,No,0,Debit Card,0.0
18,F,Socks,Clothing,79,New Hampshire,M,2.9,Yes,0,Credit Card,10.0
70,F,Sandals,Footwear,28,Ohio,S,4.6,No,0,Debit Card,0.0
66,M,Scarf,Accessories,88,Utah,L,4.1,No,43,Credit Card,0.0
28,F,Blouse,Clothing,26,Tennessee,M,3.1,Yes,0,Debit Card,10.0
54,F,Jewelry,Accessories,27,Hawaii,L,4.2,No,0,Bank Transfer,0.0
19,F,Sweater,Clothing,83,Arizona,XL,4.5,No,27,Bank Transfer,0.0
20,F,Gloves,Accessories,39,South Dakota,S,3.7,Yes,24,Credit Card,10.0
43,F,Sunglasses,Accessories,89,New Jersey,M,3.7,Yes,0,Debit Card,10.0
38,F,Coat,Outerwear,68,North Dakota,L,3.4,Yes,0,Credit,10.0
50,F,Dress,Clothing,90,Iowa,M,3.0,Yes,0,Debit Card,10.0
64,F,Skirt,Clothing,34,Ohio,M,4.2,No,0,Cash,0.0
49,M,Pants,Clothing,51,Vermont,L,2.9,No,0,Credit Card,0.0
47,U,Sweater,Clothing,45,Montana,XL,3.5,No,0,Bank Transfer,0.0
36,M,Hoodie,Clothing,88,Delaware,M,4.1,Yes,43,Debit Card,10.0
55,F,Coat,Outerwear,85,New York,L,4.3,No,40,Debit Card,0.0
25,F,Jewelry,Accessories,100,Kentucky,M,2.8,No,0,Debit Card,0.0
53,F,Belt,Accessories,42,Oregon,S,4.9,No,0,Cash,0.0
49,F,Sandals,Footwear,53,Rhode Island,L,3.3,Yes,0,Debit Card,10.0
35,F,Sunglasses,Accessories,86,Nevada,XL,3.2,No,0,Debit Card,0.0
53,U,Handbag,Accessories,47,Alaska,S,4.2,No,0,Credit Card,0.0
33,F,Skirt,Clothing,25,Mississippi,L,4.0,No,0,Bank Transfer,0.0
21,U,Handbag,Accessories,51,Wyoming,XL,2.5,No,34,Debit Card,0.0
32,F,Shorts,Clothing,41,Delaware,M,3.9,No,0,Debit Card,0.0
67,F,Sunglasses,Accessories,42,Indiana,M,3.5,No,0,Credit,0.0
43,F,Scarf,Accessories,20,Maryland,M,4.2,No,0,Debit Card,0.0
58,M,Jewelry,Accessories,30,South Dakota,XL,4.7,No,0,Credit Card,0.0
20,M,Handbag,Accessories,53,West Virginia,M,4.5,No,5,Credit Card,0.0
61,U,Gloves,Accessories,74,Alabama,S,2.8,Yes,0,Cash,10.0
32,M,Jeans,Clothing,57,Louisiana,M,2.9,No,13,Debit Card,0.0
37,F,Pants,Clothing,40,Hawaii,M,3.7,No,0,Debit Card,0.0
27,F,Shorts,Clothing,46,Iowa,M,4.3,Yes,0,Debit Card,20.0
36,M,Pants,Clothing,78,Colorado,S,3.9,Yes,0,Cash,10.0
32,F,Backpack,Accessories,59,Michigan,M,3.2,No,0,Bank Transfer,0.0
51,F,Jewelry,Accessories,75,Louisiana,L,3.1,No,0,Credit Card,0.0
64,F,Sweater,Clothing,54,Maryland,M,3.9,No,42,Debit Card,0.0
68,M,Shoes,Footwear,42,Georgia,M,2.6,No,0,Cash,0.0
68,F,Blouse,Clothing,44,Georgia,M,3.3,No,0,Cash,0.0
33,F,Jeans,Clothing,52,North Dakota,XL,4.6,No,0,Bank Transfer,0.0
65,F,Sunglasses,Accessories,69,Maryland,XL,4.6,No,0,Credit Card,0.0
48,F,Jewelry,Accessories,26,Oregon,M,4.4,Yes,0,Debit Card,50.0
69,F,Coat,Outerwear,33,North Dakota,S,4.2,No,0,Debit Card,0.0
59,F,Jewelry,Accessories,32,Maryland,M,3.0,No,28,Cash,0.0
48,M,Backpack,Accessories,85,Virginia,XL,4.0,Yes,13,Credit Card,10.0
25,U,Skirt,Clothing,30,South Dakota,XL,3.5,No,11,Bank Transfer,0.0
29,U,Shirt,Clothing,29,Georgia,M,3.0,No,36,Bank Transfer,0.0
57,M,Sweater,Clothing,95,Hawaii,M,3.7,Yes,23,Debit Card,10.0
23,M,Sneakers,Footwear,69,Arkansas,L,4.0,No,0,Bank Transfer,0.0
45,F,Sandals,Footwear,69,Montana,S,4.2,No,21,Cash,0.0
38,F,Belt,Accessories,61,Oklahoma,XL,2.5,No,0,Debit Card,0.0
21,M,Skirt,Clothing,94,Minnesota,M,3.0,Yes,9,Cash,10.0
32,M,Sweater,Clothing,30,Montana,S,3.2,No,0,Debit Card,0.0
63,M,Skirt,Clothing,45,Ohio,M,3.5,No,0,Credit,0.0
29,M,Handbag,Accessories,39,Kentucky,XL,4.8,No,0,Debit Card,0.0
27,M,Jewelry,Accessories,51,Nebraska,L,2.6,No,0,Debit Card,0.0
56,F,Scarf,Accessories,37,Delaware,L,3.4,No,0,Debit Card,0.0
30,M,T-shirt,Clothing,62,North Carolina,M,3.7,Yes,0,Debit Card,20.0
58,F,T-shirt,Clothing,33,Colorado,M,3.7,Yes,0,Credit,10.0
57,U,Dress,Clothing,26,Delaware,XL,3.3,No,40,Bank Transfer,0.0
60,M,Shoes,Footwear,99,Utah,M,4.7,No,24,Cash,0.0
69,U,Handbag,Accessories,39,Connecticut,M,2.7,No,0,Debit Card,0.0
70,F,Skirt,Clothing,20,New Jersey,M,4.6,No,19,Credit Card,0.0
53,M,Sunglasses,Accessories,42,West Virginia,M,2.7,No,24,Credit Card,0.0
25,F,Sandals,Footwear,74,Indiana,S,4.8,No,0,Credit Card,0.0
48,F,Shoes,Footwear,26,Delaware,XL,4.4,No,0,Credit Card,0.0
69,M,T-shirt,Clothing,53,Maryland,M,4.0,Yes,0,Debit Card,10.0
25,M,Sneakers,Footwear,80,Pennsylvania,M,3.2,Yes,28,Debit Card,50.0
29,F,Hat,Accessories,98,Iowa,M,4.4,No,0,Debit Card,0.0
46,F,Skirt,Clothing,95,Pennsylvania,M,3.8,No,0,Credit Card,0.0
37,F,Sweater,Clothing,44,Delaware,L,3.6,Yes,0,Bank Transfer,20.0
20,F,Sandals,Footwear,60,Oregon,M,3.3,No,0,Debit Card,0.0
40,M,Dress,Clothing,84,Oregon,M,3.4,Yes,0,Credit Card,10.0
60,F,Sweater,Clothing,59,Utah,M,3.5,No,26,Credit,0.0
26,M,Jacket,Outerwear,49,North Dakota,S,3.6,No,4,Cash,0.0
29,F,Gloves,Accessories,32,Florida,M,3.2,No,3,Credit Card,0.0
66,U,Handbag,Accessories,29,Maryland,M,3.7,No,0,Debit Card,0.0
66,F,Dress,Clothing,22,Minnesota,M,4.5,No,0,Cash,0.0
56,F,Pants,Clothing,85,Montana,M,4.6,No,0,Cash,0.0
69,F,Jeans,Clothing,52,Rhode Island,L,4.1,No,0,Bank Transfer,0.0
38,F,Pants,Clothing,89,Massachusetts,L,3.4,No,0,Debit Card,0.0
42,F,Dress,Clothing,77,Vermont,M,3.7,Yes,50,Credit Card,10.0
30,F,Pants,Clothing,24,New Jersey,M,3.3,No,0,Debit Card,0.0
66,F,Jewelry,Accessories,24,Wisconsin,XL,4.5,No,0,Debit Card,0.0
36,F,Handbag,Accessories,22,California,M,3.3,No,0,Debit Card,0.0
58,M,Sweater,Clothing,82,West Virginia,L,4.3,No,0,Cash,0.0
45,F,Backpack,Accessories,67,South Dakota,M,2.5,No,0,Cash,0.0
47,M,Shorts,Clothing,74,Maine,XL,2.6,Yes,0,Cash,50.0
66,F,Jewelry,Accessories,72,Kansas,L,4.9,No,28,Debit Card,0.0
41,F,Sneakers,Footwear,36,Vermont,L,4.7,No,0,Debit Card,0.0
41,F,Belt,Accessories,95,Tennessee,S,3.0,No,0,Credit Card,0.0
66,F,Hoodie,Clothing,78,Tennessee,M,3.5,No,0,Cash,0.0
37,F,Shirt,Clothing,82,Wyoming,M,4.8,No,0,Debit Card,0.0
62,F,Scarf,Accessories,41,New Jersey,M,3.2,No,48,Bank Transfer,0.0
61,F,Coat,Outerwear,42,Iowa,M,3.1,No,0,Credit,0.0
48,U,Coat,Outerwear,50,Florida,M,2.8,No,0,Credit Card,0.0
70,F,Socks,Clothing,31,Nevada,S,2.9,Yes,34,Bank Transfer,10.0
46,F,Sweater,Clothing,51,North Dakota,M,3.7,Yes,0,Debit Card,10.0
19,F,Shirt,Clothing,86,New York,M,2.8,Yes,0,Credit Card,10.0
39,F,Sweater,Clothing,64,Alaska,M,4.5,Yes,15,Bank Transfer,10.0
41,F,Blouse,Clothing,46,Kansas,M,2.6,No,0,Credit Card,0.0
20,M,Sweater,Clothing,85,Oregon,L,3.7,Yes,0,Debit Card,10.0
36,F,Hat,Accessories,81,Rhode Island,S,4.4,No,16,Cash,0.0
32,F,Sweater,Clothing,59,New Mexico,M,4.3,No,16,Bank Transfer,0.0
69,F,Hoodie,Clothing,79,Massachusetts,M,3.5,Yes,0,Cash,20.0
40,M,Shorts,Clothing,33,Pennsylvania,M,3.8,No,0,Credit Card,0.0
40,M,Shorts,Clothing,47,New Jersey,L,3.5,No,0,Debit Card,0.0
20,M,Hat,Accessories,20,Utah,S,4.6,Yes,0,Debit Card,10.0
64,F,Coat,Outerwear,36,Kentucky,M,2.6,Yes,0,Credit Card,10.0
27,F,Sandals,Footwear,39,Nebraska,M,4.4,Yes,0,Debit Card,10.0
24,F,Skirt,Clothing,71,Virginia,M,4.0,No,46,Debit Card,0.0
48,M,Shoes,Footwear,59,Wyoming,S,4.4,Yes,27,Bank Transfer,10.0
49,M,Jeans,Clothing,50,New Mexico,L,4.7,No,0,Cash,0.0
36,F,Sandals,Footwear,41,Oregon,L,3.9,No,0,Cash,0.0
56,M,Blouse,Clothing,59,South Carolina,M,2.7,Yes,17,Cash,10.0
37,M,Hat,Accessories,87,Arizona,M,3.7,Yes,0,Bank Transfer,10.0
42,F,Sweater,Clothing,68,Kentucky,M,2.6,No,0,Bank Transfer,0.0
28,F,Skirt,Clothing,90,New York,M,3.9,No,24,Debit Card,0.0
27,F,Jeans,Clothing,71,Texas,XL,4.9,No,0,Cash,0.0
58,F,Jewelry,Accessories,76,Pennsylvania,S,3.0,No,42,Debit Card,0.0
37,F,Jewelry,Accessories,42,Oregon,XL,4.1,No,0,Credit,0.0
18,F,Belt,Accessories,56,Arkansas,M,4.0,No,0,Credit Card,0.0
